sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_gra:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	
10	9.19998824385236	2.1337688836235	0.684487609974641	1.50889681523691	1.37873097754425	0.487251452889493	0.872015376780726	0.514569700177088	0.771804907429803	0.949491288316992	1.28846716755677	0.779887283010819	0.901476324748523	0.720606812626174	0.64705577008224	0.800204395780269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659812219007767	0	0.0136211322075669	0	0	0	0	0.149912055417925	0	0	0.132701883670595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183009482575827	0.320208193960614	
11	9.19992061787042	2.21724064987058	0.814200239872368	2.10109292575504	2.00760728178035	0.89205939681107	1.28577306341563	1.72197127455758	1.1324529185918	2.65338754511293	1.17808208333969	1.52613826061381	1.24307568845611	1.66355207744835	1.06243489908556	2.62288196844483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421329506640947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19992115397759	2.13777086558033	0.761677932183277	2.07240444418961	0.989243912245793	1.43228538230776	1.10449336742519	0.847566576993075	1.16756212524028	1.83136203774883	1.27292742554893	2.54385713725406	2.41554799400317	1.60965346794242	0.868710189520227	1.95670905135513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354035901610393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46668947739394	0	0	0	0	0	0	0	
13	9.19992313819343	1.79790215073891	0.678880130438376	1.69545473586304	1.43380006094559	0.723596989442169	1.02008385411336	0.493033105318765	1.12598270513797	1.56329378022472	0.907899712695868	2.09765202328961	2.08766996113687	0.938993242213294	0.738039479289802	1.08021505479337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.616285447897432	0	0	0	0	0	0	0.00241062200167427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19994854645314	2.05986592553306	0.941892884840143	1.57074407309127	1.16864842755388	1.12053622294881	1.44771675557187	1.1152651735763	0.981973572149683	1.05072044005191	4.14845787231275	3.06841612277609	3.07603244763261	1.38057837856939	0.793700859458183	2.36873853825792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35196062986002	0	0	0	0	0.132133720299163	0	0	
15	9.19990709280668	1.83137290663134	0.303280922522859	1.48770220514928	1.33930865932355	1.14283508165452	1.24953536364233	1.73969882241412	3.47382465420408	2.30272331660449	3.53890007855838	0.784392244009019	2.2787533377066	2.32952762700023	1.16283809170235	1.52797001902501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825514289669285	0	0	0.152432752103923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19990692059511	1.93284357558405	1.01164672449829	1.59320379842433	1.37280633092702	0.948966127548221	1.14492179504345	1.31648443432049	1.89259144639975	3.66343225335773	3.5293301707417	1.42624318696272	0.95716862239797	1.94389346256542	3.82761274533492	1.27585736086054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187198761632994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068875970285469	0	0	
17	9.19994593876717	1.92750809710302	0.742064694805647	1.7296507948717	1.68999047059136	0.944446886037579	1.0778150929437	1.24221682257158	0.356349190779291	1.82727265702717	2.46463408969203	0.414581108930083	1.06137707255406	1.14353238337224	0.87804431100753	1.30909274163472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238967086385785	0	0	
18	9.19992227618662	1.77677683374474	0.435018687180804	1.71006378923282	1.61012152202225	0.694388459051502	1.31646812778108	1.04916514714621	0.733262349847434	1.42473845406667	1.73649832775848	1.61040724661983	0.55973906839987	1.98630802688302	0.561088392791392	2.0809446451835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26331439812318	0	0	0	0	0	0	0	0	0	0	0	0.558322071765482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.19995100392705	1.80378566300334	1.06776230784811	1.51709384363569	1.33520723608246	3.64918084109413	1.52523564021886	0.858671024968845	0.909301376097107	2.15908400115433	5.71280535366147	1.5104845926037	1.93175585791463	1.12870678575245	1.55855137649387	2.27799227436377	0	0	0	0	0	0	0	0	0	0	0	0	0.102743644603501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
