sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra	Ne&neo_gra	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri:neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	
10	9.19991769668782	1.98816075421081	1.82053919963687	0.358716546372667	0.667982438998847	3.92516457956147	1.11644497272879	2.98544390607963	1.44860577510652	2.5334830857552	1.74776265614999	4.28659364814311	3.5751064786878	1.17804694257009	1.78006930581036	1.57844449030641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583240652868308	0	
11	9.19993574455309	2.02517613269139	1.92918636932185	0.624421327942517	1.30236457265639	1.377386335234	1.00643439844311	1.04601402124174	1.05885850510199	1.31630428677557	1.02234482805993	1.90791733290968	1.54607567574212	2.92941251923055	0.698331424659425	1.93760568031943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315134235648373	0	0	0	0	0	0	0	0	0	0	0	0	0.431161453149431	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19997329389096	1.8699079907893	1.72628953309962	0.483909490481564	1.38075337736789	2.6398054623894	0.998539113455443	5.40186381771232	1.12840140164831	2.1335516188244	1.21720090090021	2.05245208905724	3.06550800290572	5.67159269127498	1.88747431518376	1.70720608021373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649297347994237	0	0	0	0	0	0	0	0.0718620038393825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19991502945165	2.20906801859712	2.20176431098684	0.425049584917739	1.70601300984852	0.823484239979643	1.07213354686027	1.79995340656682	0.753117746449194	2.21256948945785	2.39571341853378	0.804557987980795	1.69994395490769	2.52060651099781	0.799198860134717	1.69693999413173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258641910350178	0	0	0	0	0	0.0584543172278956	0	0	0.846353530064889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.199916612482	2.00500571492676	1.90828838774443	0.782222757497046	1.791902375795	1.38134526819349	1.34985829628699	2.12630488104979	0.942822092694325	0.941371508010463	1.20804854536874	1.01456705698644	0.87199339203914	0.868141548069553	0.738675863152292	1.4888401073668	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051984559877167	0	0	0.0979409080265674	0	0	0	0.0218215657959398	0	0	0.244821348727025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0716561629784277	0	0	0	0	0	0	0	0	
15	9.19991294317316	2.02611526422739	1.8807472173019	0.95159441084546	1.71097690026314	1.46933950352196	1.19813773514618	2.36091777494431	1.5084046515283	2.27843408434003	0.963257589569588	0.587911978993475	1.30945245996168	1.37810767944684	0.648239161419191	2.03466223564624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206209595106716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19997357587314	1.85908024847172	1.80928336491316	0.908476315436895	1.64383805484132	0.472883867189217	1.26074782144641	1.58342548454147	0.799328910015751	1.24166459904561	0.555142341318612	0.991595618022244	0.563057265618483	0.64711585085684	1.02203985513495	2.19401195831095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378386695990827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	9.19994271309046	2.21249493371706	1.88729009339356	0.260592000364836	1.86260248569403	0.380651399398583	1.37032228867792	0.847718456287828	0.865766299612507	0.639947058968375	0.620066619836363	0.433643305588248	0.880980589721283	0.689102006006055	0.676382690828139	1.45511352626259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40919521411898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	9.19999002594947	1.84664539342669	1.74510943590661	0.944878123615513	1.53807225646666	1.28756205149219	1.09663648554501	2.59193808448531	0.446678808378511	0.538917868677323	0.979685778291399	1.60106176688106	1.23368867300366	0.934429492061995	0.697425787176514	1.43036407058339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412887481051596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.19998249985236	1.82913663671344	1.70840420720257	0.721325895129473	1.59121801155636	1.12651453726113	1.11405773400766	1.40280117408348	1.10530261405638	0.510576872307565	1.65756462702611	1.77014350546617	1.64723242264442	0.589222511982083	0.903018622168267	1.24695560847386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183949329947156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
