sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_gra	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
86	9.19992340829244	2.49306653790246	1.52799994850434	1.36703703594003	1.0302587134557	0.384388024010216	0.981936852607343	0.443293031430689	1.67917013715041	1.07377196055547	0.455898796781404	0.544952044181803	0.305092125326309	1.14046757652453	0.869363944683749	1.31940501510283	0	0	0	0	0	0	0	0	0	0	0	0	0.0845913055115882	0.162984653898049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274906838849283	0	0	0	
87	9.1999831972974	2.75742796843993	1.53144701829125	1.44554976678296	0.444043616548298	1.01402732084275	0.625344787324004	0.17254664899983	1.77932053494242	0.712127790504719	0.568549645592525	0.453963563855147	0.796240895168702	0.658412262095761	0.45391590879362	0.832878867976548	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158433224112984	0	0	0	0	0	0.174124536822015	0	0	0	0	0.0141313047144688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520847652281387	0	0	0	
88	9.19991963003993	1.95702924343833	1.46956963394843	1.38450507270389	0.840681325386138	0.979630256353214	0.804312341140737	0.70392763073175	1.53242528791088	1.7214828564483	0.257306889939754	0.410845213882202	1.03619814314753	1.12479445466529	0.842741769599097	1.28303268037313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142069792962466	0	0	0	0	0	0	0	0	0	0	0	0.140715563376578	0	0	0.156814124564095	0	0	0	
89	9.19999786904135	2.10355433438107	0.958243067294248	0.955481023903595	0.711646034609678	0.894780151470952	1.01351553754336	0.944720451931941	1.21289684736045	1.08290126660331	0.452715816121823	0.97452302400523	0.833996393572159	0.546760949580057	1.0263011377073	1.24038269537596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.2247452047661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207469168421697	0	0	0	0	0	0	
90	9.19997655067988	2.20327026987326	1.70874169508499	1.26938640290644	0.724743266147208	1.05082643104541	0.674610826301501	0.278351073659003	0.958610150876432	1.6887333009101	0.495170168233864	1.00293424394839	0.463517576628541	0.497304645768469	0.476315037123703	0.873856448667165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353764451016734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0538743470427562	0	0	0.519141654272067	0	0	0	
91	9.19999482226848	2.29911320622573	2.03974022896975	1.59739568600188	0.327450254355017	0.579301825217338	1.0207427165399	0.511270166876493	0.612577439285013	1.94183708227035	0.93745196439602	1.599917768304	1.10703028194907	1.69232078361298	1.75453612609253	1.2249569720085	0	0	0	0	0	0	0	0	0	0	0	0	0.0215110429203452	0	0	0	0	0	0	0	0	0.436226558846433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10688624813	0	0	0	0	0	0	0	0.780850144598599	0	0	0	
92	9.19999558928302	2.45666328142705	2.02865484459143	1.35037038660478	0.570317173691054	0.554925651329489	0.872174697473171	0.414632330331108	1.15269016973675	1.06464148759893	0.547989161471914	1.3246783271984	1.09881768803045	0.419603330501322	0.621458138587401	1.50776642744681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0868912345221999	0	0	0	0.296996669478554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0469253980473522	0	0	0	0	0.0185882782230021	0	0	0.619676544094744	0	0	0	
93	9.19998591560171	2.09658508800886	1.31135525515975	0.963203250838136	0.79770567093612	0.31936910254323	0.989474174388735	0.310183457784985	0.822545844845164	1.00578169490504	0.302767759160474	0.308247166956499	0.600946551323959	0.498905099975657	0.585707396380116	0.636810000205575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138543315555584	0	0.460285176149852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155157584811359	0	0	0	0	0	0	0	0.0935413149061297	0	0	0	
94	9.19992565444784	2.68106693066634	1.38529999948984	1.03174446160884	0.62527896441801	0.867936391045629	0.586491067356485	0.344841868493168	1.16249355272707	1.97675976952436	0.488225205653441	0.267016855505748	0.595605838791365	1.15998945909827	0.667254206309517	0.397866456350451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715661009276234	0	0	0	0	0	0	0	0	0	0.0105459991696643	0	0	0	0	0	0	0.161595053477282	0	0	0	0	0	0	0	0.212436816182086	0	0	0	
95	9.19992751892507	2.32077229301041	1.6555170418773	1.19472828863608	0.415507541332239	1.08156687199166	0.634678081065327	0.369398285959075	1.07987974890719	0.788845963223911	0.574919302437414	0.698836707450439	0.609986903703361	0.896433890608888	0.547252701715437	0.570565426840122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64224386889085	0	0	0	0	0	0	0	0	0	0.0803103505502314	0	0	0	0	0	0	0.164343583164814	0	0	0	0	0	0	0	0.453661672840774	0	0	0	
