sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	
10	9.19992794019403	3.2300077910371	1.32817882880714	0.98436428135323	0.586357961489779	1.29737360958529	0.66213564036644	1.86571753157307	2.63485684562631	1.69164053916807	2.01350816100445	2.81602043553933	1.15676292206854	2.27036119891111	1.11852124088029	1.78443706715771	0	0	0	0	0	0	0	0	0	0	0	0.0293450406299305	0	0	0.0864434984597537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393514259131341	0	0	0	0	
11	9.19992002598955	2.955272187611	1.50406390814714	1.17683438429674	0.294985318779449	3.56600512748973	0.812305281840775	2.70826011561672	1.78109121874546	0.846863662004482	1.14184557012243	2.06711861483541	1.26449638945119	0.427642176406129	2.67875298152875	1.92219867265794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100520308990897	0	0	0.480284828032346	0	
12	9.19993119709851	2.72331829423555	1.85829716582473	1.15580239043205	0.611238006853389	1.20122595952065	1.0594315314169	4.6580987710334	0.992399849114184	2.17624175007749	0.752165269600568	0.936945250537026	1.88141558445513	1.07287082036655	0.814591150759967	2.3579799249622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526125819650019	0	0	0	0	0	0	0	0	0.144676874397852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0414607852396848	0.147192313349267	0	0	0	0	
13	9.19998809354927	2.88646982309882	2.01339049681972	1.36407468735494	0.695507419864034	1.1705525833548	1.02943509602867	2.44386774896257	2.08792552853665	1.77515067742666	3.57761497035201	0.913527652933719	1.49865543237406	0.711323799399807	0.851699264519911	3.21965897720094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0562555012263487	0.10129967441109	0	0	0	0	
14	9.19996532600625	2.68252591487141	1.8740420904778	1.04394840847896	0.737758827768102	1.36519497894737	0.678509436659722	2.02842706725857	1.29659661807356	3.24521324309263	0.434224838131115	1.19238238526554	1.91278893816326	1.48080580281405	1.26712656890531	1.84548029358421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0866557036974197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395828248488347	0	0	0	0	
15	9.19991747446207	2.38733007866707	1.45806638848385	1.03983528753695	0.507285759969368	1.25929662507243	1.21039522283486	2.22885176095105	1.33402167396521	1.08673689177433	1.7357640815739	0.771620867869904	0.967079807544493	0.543894643630995	3.0430309400309	1.45699789069294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331699941219885	0	0	0	0	
16	9.1999911028117	2.29382819384163	1.93245650098888	1.32257482138211	0.746011128989259	2.22528054446095	1.20230402946654	1.46057760953337	2.2100110941709	1.9283382640127	1.84790207476919	1.45529179675013	0.715948274316124	1.67249313830269	1.95419321880728	1.47033577583953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0936307639726329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114451274005755	0	0	0	0	
17	9.19999940101552	2.37882863094333	1.38894829187388	1.12756315676524	0.506870485441665	1.10449278369872	0.897082470961222	2.59656266376037	0.886571498168186	1.21359350427592	1.49769350494421	0.966637267541903	1.58915375528834	1.92176882877609	1.87985832472654	1.55445065495666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157450530729261	0	0	0	0	
18	9.19996683495122	2.11233384245634	1.68251368944974	1.27646372421532	0.362708305589095	0.843633693707593	1.09107556550942	2.21459719065377	1.42950097825615	2.77968009458192	0.767101118421848	1.42015540175489	2.50584557642017	1.85093238009261	0.968072621935408	2.00455803556444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249492666048211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.19998835826397	1.74063667280216	1.46426308664964	1.31223519462487	0.569261756216022	1.06446344893856	1.1554742993616	2.79963936047323	0.716941267906564	0.852785967356332	0.930622148098138	1.30997476180485	2.31992244902311	1.57050357922429	0.790006884999289	1.36040779427769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116999636702231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	9.19990363924949	1.93347523504192	1.64460564642825	0.775842553759301	0.345958230127912	1.04601467271866	1.19222905422373	3.04128661304151	2.40250406662308	2.77136133631751	0.544248174582443	1.82914118261077	1.94776158124677	1.41312411048015	1.1324172864544	1.84261978126403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23652742723438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.19999521006951	2.16761195091379	1.70183504982682	1.21381555082753	0.672937251702348	1.00791794079355	1.04587472899759	2.50939080384297	1.20526931362114	1.53367458246133	0.804351061601429	0.793205716240476	1.22683417925368	1.68181079597508	0.789647860674047	1.17057338366144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0865274841182221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0917597677338655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	9.19990571713521	2.05077078135831	1.90808264091988	0.993732955121601	0.640395931671037	2.67149680840951	1.19071461905027	5.3289856063003	3.36509458491979	1.61572434305982	3.25278558238907	0.851292651640197	6.12541779887229	3.40604750277452	1.17433697962039	1.52166854048946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123393313569781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	9.19991558778434	2.02700958323469	1.97309321691276	1.27272806407212	0.339944469946758	1.68079492173176	1.29700822074788	3.65901479942775	2.26367792221741	2.39338649899569	3.54761288338912	2.44514425037218	4.05425750287195	2.82800808499496	1.48611281720096	2.43867136486865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97556393731322	
24	9.19993400300281	2.24483909725078	1.645702974822	1.36284351080689	0.662215721166344	1.15642428504978	1.28373137089095	3.62256104522772	1.77340904622156	1.21219511525342	0.942708923025026	1.89048154619311	2.20861399426797	0.942627256772315	1.4760266771264	2.59337045924389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118761767536247	0	0	0	0	0	0	0	0	0	0	0	
25	9.1999088054424	2.15162527713869	1.56143805952909	1.4813585093359	0.150120959374784	1.56099375566984	1.13023305702726	1.80008236742269	1.98872104508236	3.03297931605232	1.18532575916285	2.23762706427619	1.30841596216417	1.03728185258196	1.41589824905658	2.30228148529016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0417572102244859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	9.19993697194172	1.94157682575941	1.61073853391858	1.54507510289293	0.584073349440495	0.80512276282407	1.1466007100541	1.48382904121487	0.732080853273867	1.37823740049358	1.56700661023886	1.99505782347301	1.35682458175979	2.80570800969794	1.44308913813749	1.23468276040182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	9.19990057014339	2.01967582357461	1.73971726500416	1.39322444879454	0.458808028700085	1.64259488916205	1.10152981957941	1.59668834346657	1.17651510259522	0.863105106530522	1.93019163812559	2.88619215906825	0.875113475662096	0.846990205680354	2.01854821984913	1.44656678376072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00943245654610163	0.0174097732273232	0	
28	9.19997844798636	1.76305344828758	1.70750604944644	1.38568216665512	0.0965787839480359	1.63518321620251	1.04357609269097	0.971102921653612	1.92119190046641	0.844826395841773	0.798537879809854	1.60065260504661	3.0283140881883	1.63042272667477	2.00869291547977	1.30976385511459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9.1999303166713	1.75951638100966	1.57493420560822	1.15182243608303	0.0140813811290322	2.72311191123584	1.09763645565407	2.34828143548954	1.7885492005677	1.31070098414522	1.31833108039621	3.1006896679602	3.52936140209902	4.2546737262702	2.39660156580722	1.19580701794504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00634292709488802	
30	9.19991568997411	1.66023489757889	1.58453008379611	1.19110801467141	0.52848760825611	0.613317836593228	1.17820253482466	0.970867427763073	1.30625795406417	0.934803799902968	1.355086922692	1.00290685621142	0.792477977299103	2.32695965086156	0.64936600257248	1.19414877213572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	9.19999392419544	2.46014505568307	2.24757108511682	1.46489824061118	0.692533904420695	0.509783366212497	1.16977055428367	0.704925899808889	2.01283073110746	3.03116815870079	1.11200939734069	1.03528962861	0.344361808673026	1.2647732445071	0.512753731103077	2.59932477484078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0761043871780927	0.111176312887749	0	0	0	0	0	0.0985342022732703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	9.19997258153265	2.13468953899405	2.04466465327734	0.891608519427546	0.0962031714498862	1.9701948155377	1.02107039216941	7.24192462521444	0.947703369887346	1.52516140174594	1.41892588912912	2.81072742111516	0.938964889242365	1.05848453697773	2.57655691548556	2.14279034999465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00621769254658212	0	0	0	0	0	
