sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_gra	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_gra	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli	mig&neo_bri:neo_gra&neo_pul	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_mar&neo_oli:neo_pul	
10	9.19999007260907	1.84516053055478	1.24188402013036	1.66759784017381	0.980442245002562	1.19026503398188	1.01466119701072	0.531481807920673	0.286523894170653	1.95226275668042	0.649687544494027	1.53800776306093	1.35619961362953	1.56158215454216	1.43953264971845	0.970063600373504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229416146446676	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19999530435352	1.94932572488133	1.06637137946094	1.5077584027853	0.653871025915924	1.24970814758625	1.1170538863586	0.903779907951619	0.907833714490997	1.15261272907785	1.71174292324123	2.19282337664985	1.63368109388778	2.60800617376085	1.32283343807076	1.72811002459475	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160343676068499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70243215284275	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19995012696494	2.28919959287534	1.07439621516237	1.17467645308324	1.04135133503857	0.908890510898772	0.946122781310465	0.551463734774618	0.440501863225609	0.624400683401952	2.19809867083282	1.60950785069886	2.31930229533033	1.40462801125643	0.77655243016998	1.27008444123421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00810200167596075	0	0	0	0	0	0.322479639458089	0	0	0	0	0	0	0	0	0.690702613374276	0	0	0	0	0.154979948114378	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19999733149786	2.00405643825681	0.811935399869199	1.42846763729593	0.760811115668142	0.650376453018421	1.10469332325716	0.558862683334	0.917489496292573	0.567053576359066	0.880343906678599	2.85321804494055	1.17084923625496	0.839387970691195	0.437994258777249	1.07771546852358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117335728996575	0	0	0	0.381247347025604	0	0	0	0	0	0	0	0	0	0.3306134798324	0	0	0	0	0	0	0.0310866420650853	0	0	0	0	0	
14	9.19993271158143	2.1479014878582	1.04507430384022	1.51515488852757	0.927749696352444	0.68034995792321	0.797131498772269	0.397967100221828	0.508380504458157	0.257466807551649	1.38498925452797	1.35301297754977	0.41643196201074	0.703861711015107	0.898172635673848	0.749167019428936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389960737878702	0	0	0	0	0	0.068775097412931	0	0	0	0	0	0	0	0	0	0	0.39087902853745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134017216965337	0.0296128895298854	0	0	
15	9.19999539674163	2.34476216857528	1.20704811310891	1.35577318771635	1.20106135743137	1.49350085036957	0.872491072535431	0.845408788892942	1.08650539097766	0.622558209632341	2.95436436664731	1.17970917812534	1.50551930470179	1.1521207594925	0.766268476638413	1.18660369618968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19637670689493	0	0	0	0	0	0	0	0	0	0	33.2363383299349	0	0	0	0	0	0	0.182514749174971	0	0	0	0	0	0	0	0	0.133515691434973	0	0	0	
16	9.19993265244946	2.47315341474051	1.17713999132367	2.08923889959449	0.86479255319237	1.37904050305684	0.985835838020367	0.704544450735763	0.339640854324089	0.741491919699981	0.732216585525385	1.34934366444029	0.895456515430991	0.606767724689354	0.956964291853489	1.56655138326725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0793796326815623	0	0	0	0	0	0	0	0	0.261936673246616	0	0	0	0	0.326289535196213	0	0	0	0	0	0	0	0	0	0	0	0	
17	9.19999162217677	2.47543607094038	0.936312226255359	1.95953765609192	0.680748399176842	1.73490671264763	1.05241439909561	0.794793557181109	0.602300632801273	1.31875393688113	0.850150046092145	3.15513380475772	0.951246817044037	0.749778224886476	1.71865291344367	1.85194595593869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22912539871832	0	0	0	0	0	0	0	0	0.24211811162045	0	0	0	0	0.234064892955051	0	0	0	0	0	0	0	0	0	0	0	0	
18	9.19992698595446	2.62742677013222	1.00879127523659	1.49880768279481	0.968766460902724	0.72869528245396	0.873705270867059	0.592887193463572	0.333069412831502	0.607891430233742	1.59259659323436	1.241915931253	0.960742175870589	0.414229880699639	1.04824258850129	1.44868229021362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299166667236811	0	0	0	0	0	0.145933116499582	0	0	0	0	0	0	0	0	0.366821879433761	0	0	0	0	0.431034072006007	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.19995255958981	2.59728990268483	1.01438394919401	2.0692948950947	0.919225638318495	1.02815051482406	1.21796695916603	0.778285840136458	0.907670418488777	1.73983518596597	1.03477079707428	1.88451104556901	7.38426895949368	1.05303581064473	1.7051553144545	2.23750209061426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161171507147813	0	0	0	0.349082600655428	0	0	0	0	0.235098973074175	0	0	0	0	0.272692100887798	0	0	0	0	0	0	0	0	0	0	0	0	
20	9.19993254451295	2.1726371678778	1.02356881407111	1.75135453265042	0.982598304429643	1.73815652284745	0.931295313717153	0.749807227276754	0.89354414825215	1.85461137361658	2.25471941855524	1.92835289097175	0.576990387605768	0.331580201502253	0.879265349184118	1.13843050698883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118774288265162	0	0	0	0	0	0.0496714276445458	0	0	0	0	0	0	0	0.332551713231465	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.19997579649905	1.83644355728292	1.13628428830937	1.34156545593251	1.03757485197376	0.369862055556929	1.20374395874841	0.439791647454314	0.638491698989316	0.524885171850004	1.48434193494749	0.617465584272839	0.71710925040169	0.319985731969644	0.791512102657531	0.732778138488528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0799060671785381	0	0	0	0	0	0	0.176786556058959	0	0	0	0.0233654256346556	0	0	0	0	0	0	0	0	0	0.286734487245364	0	0	0	0.0324853451171012	0	0	0	0	0	0	0	0	
22	9.19993438665719	1.76638833360211	0.890881245966796	1.44944847377062	0.865287941457276	1.16541801014461	1.13139133834932	0.644321111956173	0.620887048345692	1.54475026962179	3.12421944688922	0.988333436184796	1.27356636796791	1.54614424991116	0.503169980319054	0.721500234509794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0636673156361664	0	0	0	0	0	0	0.208191014176217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389356078915645	0	0	0	0	0	0	0	0	0	0	0	0	
23	9.19994442083304	1.89073183804389	1.07513168442264	1.44981283616894	0.940247464770446	0.901402857254156	0.976476658601157	0.559058690309434	0.340433945667197	0.538774720300148	1.49950117447785	0.885738467302203	1.01221567021259	0.823076327557357	0.915727221291757	0.653767214603523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619954360734129	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284223981957171	0	0	0	0.124482398246407	0	0	0.00985380644076102	0	0	0	0	0	
