sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_oli:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_oli	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	
0	9.19996446751707	2.7154349950713	1.40912788603695	1.12556052473522	0.956623655029344	0.58678908940475	0.835233292772846	2.48042434221816	1.48148018393547	1.4877892428347	0.985123939115061	0.859927653458335	1.26179201344976	1.14504070050704	1.00205836191231	1.09842000064467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199861601466578	0	0	0	0	0	0	0.547117370822189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	9.19995671593438	1.67363273011158	1.60612123302437	1.07207631120083	0.718475027044053	0.971262099401907	1.03237640006078	1.92427581451826	2.28715449738421	1.43834411577818	2.20490500565081	0.752965620435869	1.58811443780888	2.06320043467112	3.56399562699127	1.57410122855492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	9.19997270142511	2.11548292385541	1.517961344726	0.805190905511562	0.763118228033622	0.814978056982565	1.25617528198603	2.88519200398438	1.44953578808994	1.96323785356845	5.56100961928742	1.72568219006857	1.7408956951327	1.35821679220227	1.02995295968061	1.72436881431495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	9.19990135421961	2.69304676101558	1.18211956820302	1.13966977677942	0.632888991500955	0.310256852668547	0.863889018585645	2.18837791241058	0.201200431109839	1.03343839741617	0.807778720017882	0.744740943546375	1.40300278118821	0.375944437164274	0.30266139328991	1.89310689185899	0	0	0	0	0	0	0	0	0	0	0	0.267837830448008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.456660916397393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	9.19992678159061	2.61971728702375	1.10774826475482	1.09079883937094	0.880556109606624	0.239035877308907	0.655423234693428	1.51876361277392	0.592285711439181	0.282341334266957	0.722419252867755	0.505203670806646	0.992955027719647	0.240974759517436	0.225950115337737	0.45295816473062	0	0	0	0	0	0	0	0	0	0	0	0.268169807300253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281610093585255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9.19994945021358	1.54826102036023	1.40599247849233	1.23932189025137	0.960460726539983	1.64257632504901	1.14337202154652	2.03374887832959	1.15591101228605	1.6053333186459	0.485569575546936	1.79523616177967	0.612735211123129	0.62889417198623	0.957552770613436	1.25251590703945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413942037892954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9.19996535771557	1.90253404747782	1.57622313528067	1.21115659459672	0.356252223110316	3.31470775908892	1.2151879336368	2.55677154636745	3.11276835606019	1.46881299948332	2.77720072860209	1.17443921209508	1.401448302928	0.782647390034695	0.778746199699906	1.96755932487204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371911726401254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	9.19996069903129	2.08652936013053	2.05931098542435	0.750352532808885	0.675320366884216	1.75163920522342	1.37651640906751	1.26491100587293	1.67160534677753	2.10809173669371	3.89387851262437	1.44030954512454	3.4004009897869	3.35930195582298	3.03726859932394	2.70422185731307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105047055243409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	9.19996067658775	1.97662888293395	1.43500152011185	1.03623460781258	0.316030962087611	2.44028793924218	1.15056633960426	2.86412767888583	2.14299726534123	1.28771488736952	1.81557915757613	0.754566530156572	1.33885285594401	0.727020679535769	1.66850717548941	0.867348325444517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082221698269686	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448786273660754	0	0	0	0	0	0	0	0	0	0.110660207673379	0	0	0	0	
9	9.19999987877676	1.796736253372	1.44103881205499	1.2296639970842	0.745984716155522	0.589871260913413	0.864904348011922	1.11549387630354	0.7815832329806	0.894206501450628	1.2857688736134	2.42072073041266	0.91296128879647	0.394094822673687	1.23917202163111	0.795406148373325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252526783746124	0	0	0	0	0.00210499648874267	0	0	0	0	0.13453747933678	0	0	0	0	
