sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_bri&neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	
38	9.19995952691285	2.04139816961751	1.61760320754702	1.53392396516527	0.721546234747613	0.28089582326164	1.06944656480974	0.463631149331474	1.39251095938806	1.10358282666703	0.303152351269196	1.40069434943069	0.648404067080322	0.772181412625569	0.238973086268033	1.10733124609857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.841956043425624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481729602549294	0	0	0	0	0	0	0	0	
39	9.19993523096942	2.05122169616307	2.00734503993016	1.3014125650267	0.972412733509534	0.804609253097028	1.18605885816981	0.659978144689941	1.32584185744558	3.91691936623605	2.75083718683153	1.48399253465491	0.649210186036655	1.75997429688185	1.36420200340439	2.26283480505294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318576832418555	0	0	0.137349885626674	0	0	0	0	0	
40	9.19990117651017	2.59232649289274	2.4086763754276	2.11197477230737	0.401771330864657	1.37580237164872	1.23803413627271	1.2441897227337	3.45819864008034	1.73499024171243	2.00235600111671	1.00905742070766	1.86947405087629	1.72322464396946	2.07541903541283	3.0790775396393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0635314977493846	0	0	0	0	0	0	0	0	0	0	0	0	0.325305536902446	0	0	0	0	0	0	0	0	
41	9.1999961836125	1.93546551053516	1.66030807601603	1.07212805528901	0.907977199867238	0.799010514740341	1.11005499421466	0.967907258175524	1.36532460413936	3.21918568090204	1.83075791284303	0.811617764306216	0.679397503986433	1.38097832571375	0.919065223975569	1.24108750593752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28499299911073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320393231629637	0	0	
42	9.19995127256538	1.88848499477693	1.67080767872337	1.55740775526226	0.916066733502379	0.547403968252327	1.10848738155949	1.10422802857476	2.32293175694859	0.323241501325262	1.16303780149323	0.648313349408621	0.688565342014807	0.561627535575242	1.14045521216509	0.985574818499637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239365109247455	0	0	0	0	0	0	0	0	0	0.00398240811202261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43	9.19993707057418	1.69744216369048	1.64319546149587	1.00475760323878	0.784695583733772	1.79671188648618	1.12914811945003	0.496356360313589	0.835429227428098	2.57804145297849	0.547364779728673	1.42571930920701	0.761037876503702	0.693603659235957	0.25551275533786	0.826861358040115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220165269449232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0987175184882953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	9.19999770902097	1.71519495616199	1.6543484746849	1.35488674188765	0.387252510934825	1.36502487105609	1.09420642239073	1.4884565290649	0.680553073284925	1.64987107497947	0.720820323203861	1.08376431259145	0.951373766870978	2.25807743952833	0.523512616256562	1.09668573935984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.977511300478072	0	0	0	0	0	0	0	0	
45	9.19991390418563	1.92847851367811	1.91564296943262	1.19054721958165	0.0664692916095172	1.91065032570306	0.925991301412954	1.03029186006	2.38843355264497	1.84943335172843	0.973617707180519	0.393102267210229	1.87416872415318	1.06407980994946	0.762638899296839	1.26034012988338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48404937212503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	9.19998352827862	2.11997834506839	2.11747057970685	0.981955444044199	0.292417051890976	0.909342773286609	1.06978405945612	0.438742038840986	1.51198995003751	2.23642246713199	1.20173507769421	0.648931007655811	1.55384036801199	1.17364217397593	1.15591321118452	1.91314454197609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045435340785993	0	0	0	0	0	0	0	0.0256122239766881	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225657647692431	0	0	0.769493043585711	0	0	0	0	0	0.0464348879529687	0	0	
47	9.19996451921334	1.86220212988384	1.84899005307636	1.62740156266169	0.994419401648142	0.668646088530809	0.804848551150272	0.530420171292004	0.925096990133619	0.463713722823953	1.26849989870064	1.12865599957106	0.742450720314053	0.979733159944293	1.97726231173281	1.00199403596907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240089366732829	0	0	0	0	0	0	0	0	
