sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	
10	9.19994720240589	1.7879399322111	1.65887219022923	1.35123310210667	0.697539076560366	1.20628693686791	1.15489333590725	1.2613196023458	1.38962340359456	2.42924909972304	1.49527008320119	1.34285576927689	1.03748958150014	0.756940668913591	0.537677013571479	1.20977006554587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258752146916428	0	0	0	0	0	0	
11	9.19991342726676	1.77210500165579	1.23489765732584	0.793826964302711	0.594078281184315	0.919184553385746	0.993424366958965	1.76694821277286	0.35659437801094	0.557279692386534	1.37766477685123	1.18112829031174	2.03185657906046	3.73768981594284	1.34626703458646	0.818053125203009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0699001404154096	0.403144430225023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.199965967264	1.88685818633231	1.53797126993759	0.595453640685315	0.341128140608502	0.726770187632942	1.31146666507388	1.38254411360409	1.83695021987677	2.08230439840427	2.27232502579178	2.10508143776538	4.37876395425689	1.41890176335555	0.460307298942037	1.55760216582236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19994374184224	1.8209373427399	1.77352023200835	0.701597927634957	0.517422507495378	0.931568736126566	1.10108712977313	1.33556487863571	1.53456424580424	1.15607260416487	2.09615723204207	1.75718717670703	1.32724710877757	2.3663108951279	0.914876604280744	1.43756110517371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242996676829299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19990530531439	1.71329357745674	0.974819221247254	0.636276968644444	0.527042195897153	1.65366773190103	1.16470493228848	2.62550174290329	1.36934076504277	1.96627281880126	2.17916673908236	3.97285094445536	1.84286958126702	1.66086182197604	1.13759988546111	1.16858454609372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19993141109804	1.93272232892103	1.37947213871304	1.0645309448231	0.805736090354698	2.83256201839038	1.60581853350742	2.61621778269943	8.36659959879179	1.79264739914024	1.9672170861334	1.41736864149323	2.27325609672604	5.25182573129677	3.45399635583258	2.50051968779567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368745465774368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19992048077791	1.98466200471962	1.74099582069513	1.6179539151929	0.639424779110705	1.45668912383214	0.844668413300249	2.17868985374088	2.68219136125179	2.11732366724375	2.49150316454742	0.95122198923313	1.02624162078693	1.12310726233283	0.847452612985977	1.62933223274608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372248056564252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684247501185328	0	0	0	0	0	0	
17	9.1999133436383	1.74335519949888	1.60657225093199	1.58309569452253	0.954258761678234	0.447787713708739	1.01605263076898	1.73972152497733	1.41415287379893	1.37869166117082	1.11564681540378	1.68652060715676	0.553459632975496	1.94121840183278	0.314820177026986	1.10691615642998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00996276432957201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383916355689332	0	0	0	0	0	0	
18	9.19996996036598	1.84326389042273	1.72642226149528	1.69836694629657	0.521567214253985	0.566970481616051	0.951442018340512	1.4210321471507	0.621137551012644	0.682357881594334	1.31661155776446	1.33554722523861	1.49412906822939	1.32450907213597	1.34500653640477	1.42615329499638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649234267039048	0	0	0	0	0	0	
19	9.19998087445655	1.8062673139764	1.65666988348643	1.19481319921126	0.970528005963017	1.57125895449664	0.928243033881555	1.17968153068238	0.837027069073362	0.622739996599873	1.30976513404646	0.334058906234324	1.42458360676741	0.586608344047364	0.430267190200803	0.986905331303112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0439483595163475	0	0	0	0	0	0	0	0	0	0.116012922471667	0	0	0	0	0	0	0	0.165489167896063	0	0	0	0	0	0	
