sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_gra:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_gra:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_gra	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_gra:neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_oli:neo_pul&neo_bri	mig&neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_oli:neo_pul	
33	9.19997840235242	3.05157213871913	1.40347411021219	1.36529163755075	0.816603826560067	1.79162613216507	0.839874569449881	0.257755533348464	1.88845669935822	2.38841357108333	0.852120038793445	0.458695355641625	1.38795159436083	1.25335159627693	1.96633376196356	2.22414060429201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134899958978509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	9.19993826606096	2.36732760916287	1.82398976726209	1.51742586274742	0.865762521305776	0.875243551014777	1.02188973135398	0.596618809275907	1.06982779749464	2.32967621654477	0.802288372881356	1.06520472887422	0.665030908798055	1.08294540043435	0.272472992318998	1.87295067373315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157338747956597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361202382981694	0	0	0	0	0	0	0	0	0	0	0.0898849490122846	0	0	0	0	0	0	0	0	0	0	
35	9.19993456164629	2.01992245038601	1.39158125560602	1.3166228282614	0.45321216244816	0.563232711548815	0.692857661798055	0.596252765402243	1.54544646430493	0.572640204543457	0.921877730386258	1.37638414330556	0.3075692854871	0.768316291167943	0.579365630636706	0.604771679743554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366102420508277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715397142704355	0	0	0	0	0	0	0	0	0	0	0.127156558216471	0	0	0	0	0	0	0	0	0	0	
36	9.19993954360798	1.78988928642595	1.38801889636751	1.3880179438456	0.479733308798318	1.39109555971108	1.05996542555908	1.78690545831481	2.24859066827146	0.873592054505241	0.5976349882505	0.678310411373132	0.512424805387855	0.926042845997131	0.892830028805747	1.08456828488769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.764007451162578	0	0	0.0533810844642701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37	9.19999408426686	1.94164875378888	1.18910686017948	1.1542480419896	0.428021902857385	0.504273634618325	0.983656094225823	1.3912247317393	4.36919625034087	2.27832822682666	1.0074053373688	1.59488623881622	0.282655366515095	1.3902653912266	0.597158847741018	1.19293910244158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232434829203439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38	9.19997572206042	2.95807888240565	0.983924469361589	0.978265469603473	0.549669371005139	0.298174896242338	0.714323223911399	0.488969143053483	2.09715026312941	1.20781955844456	0.832505938057332	0.580372914916237	0.670124443884869	1.02936001160105	1.03772003265759	1.48259716499816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180770151078121	0	0	20.7842575226186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18335188449602	0	
39	9.19991583623382	3.13989200945148	1.76945542156781	1.44667102819052	0.619551412847028	1.90939701569108	0.653117515324915	0.266391904702033	1.35971328987903	4.78386719919468	1.26927884014189	0.903302377576883	2.40763373979637	1.21385182015869	0.866365379861054	1.60229026059942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355532181200735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0941595984068444	0	0	0.113661423612597	0	0	0	0	0.17796255695299	0	0	
40	9.19992210260872	1.92030400643992	1.79780079254713	1.60226783968097	0.361233863805622	1.45317845822265	1.06021318760752	1.02017703391959	1.54235725907276	1.45376366108957	0.869553304395416	0.849628415967578	2.07776889328892	1.26243862755309	0.883807683441022	1.59381899762479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170840983092483	0	0	0	0	0	1.22896412378185	0	0	0	0	0	0	0.362739284332152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41	9.19994746329246	2.95168595512672	1.5078807161578	1.50752946139944	0.634361787570588	0.438798000344113	0.838140688128957	0.213187715925343	1.34844511477585	0.450183220910849	0.860847933314984	0.545885256055627	0.524915020263711	0.819399467216044	0.717028586679959	1.34040342899105	0	0	0	0	0	0	0	0	0	0	0	0	0.0425508055683748	0	0	0	0	0	0	0.200810889078886	0	0	0	0	0	0	0	0	0.299634386982363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42	9.19993577843978	2.2237067940163	1.6208621557511	1.60837363266253	0.319440724296561	0.560626141328937	1.02849916624264	0.303105067512055	2.11342340325665	0.930833940136772	1.5029877832965	1.74960202955861	0.438094545080562	0.689565880273451	0.516281173998845	1.47488739518333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252341845566525	0	0	0	0	0	0	0	0	0.559814420505604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023748625013199	0	0	
