sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
10	9.19995484816071	1.8639772918154	0.989233773210775	1.19937242384647	0.10202677966301	0.891414886283061	1.36419123259811	1.99102499846378	1.57880055862076	0.768735313303786	2.11011324223819	0.454718774192168	1.58739293077442	1.00139491934136	0.46011282311994	1.99267899540211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30944894144643	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110109139164091	0	0	0	
11	9.19992768850262	1.72678490518422	1.09122411237072	1.17983799919293	0.398052306778117	2.83811104639281	1.1395290330073	4.26898871270892	2.79908930402905	1.3836326597311	2.13897618501121	1.93773315490676	1.93292474262565	1.67528013972948	1.47686424966083	1.29335282555736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325054282016729	0	0	0	0	0	0	
12	9.19996408058079	2.20383407905146	1.18433550516309	1.56140514642601	0.177291168169188	4.11579491536434	1.35022357192021	4.52386234340774	2.12782028096409	3.47472237398566	1.17191636710899	1.84543795022315	4.5384932046694	2.72407365471619	3.46307183703547	3.29086286704446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19999739079352	1.88654140374806	1.31709523064661	1.5927343268496	1.0508752418562	0.731491060002124	1.15750298900248	1.06255543408931	1.14179472636501	0.787467579378864	0.58683913025412	0.610354952486082	0.936595027424615	2.26039581448468	0.986336708183386	1.4747884788672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0783739748092163	0	0	0	0	0	0	
14	9.19998450857462	1.73704336201965	1.14238123112273	1.17817135200903	0.17078628888116	2.38378407160335	1.0908748577864	2.58139190107729	1.39016883280283	2.20661152737846	3.1172785014782	2.49873178633531	1.72159720884294	1.36738809054434	2.00586796491595	1.17438435534314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580019239190613	0	0	0	0	0	0	
15	9.19993732315125	1.82132441623073	0.733933425901386	1.23319942917567	0.365091327093521	2.13853931116735	1.24874286938965	4.2332381307755	4.18262955064823	2.3448098391175	1.24576255951099	2.41217558089808	3.15604007536949	3.49259343758031	4.8458835825755	1.15170485885951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19994868944517	2.00564456463403	1.39351900196148	1.42181043736879	0.245061328436297	2.14664946510591	1.01823365866039	1.36554284895804	1.18599492501624	0.873922145167731	0.782494516271165	0.75507137868564	1.05027866312636	2.34016688109471	0.823893755178038	1.03007571410103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157559820504704	0	0	0	0	0	0	0	0	0.0419824080106282	0	0	
17	9.19997979049389	1.82915221799245	1.24034214460268	1.43063516893408	0.535002171569005	2.04249527392706	1.374196174711	1.55799705838911	0.882415632953938	2.36633836964719	1.34968272963127	2.09461863290411	1.706223263333	1.45003787754511	0.805413205005663	1.30679326370313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118966524758567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102238299156418	0	0	0	0	0	
18	9.19992743732938	1.77133067465853	1.21415777637517	1.2220240493283	0.881837268367414	1.97911952552594	1.23813410312618	2.00596400221263	1.85920385451009	2.23393606054397	2.63695618437542	3.42563320379957	0.622065023019129	2.42229487622974	2.36264139735024	1.54307801029503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.199977756735	2.0031551008757	1.1961866347645	1.29585363408986	0.372291248117137	1.33933721246752	1.19114114577023	5.03913566533452	3.28789584573492	1.22246379869956	1.40061366748101	0.851957842622798	1.09117278459644	1.15227913691136	1.49336146250389	2.02596633961308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147875407258398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
