sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_mar	Ne&neo_mar	Ne&neo_bri	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_mar&met_zeb	mig&neo_bri:neo_mar&neo_gra	mig&neo_bri:neo_mar&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar	
10	9.1999490763989	2.06626993414224	0.907359327576822	1.07672002883809	1.05055264198597	2.04024681488551	0.865912481095789	0.788778187932687	1.63981876273972	1.05557803324196	3.45159207664071	4.53276529345243	1.09083777956186	1.85093776981056	3.52305041504396	1.30987132309805	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514071564320716	0	0	0	0.152918196145918	0	0	0	0	0	0	0	0	0	0.288598826179394	0	0	0	0	0.0543372341467319	0	0	0	0	0	0	0	0	0	0.60419376505019	0	0	0	0	0	0	0	
11	9.19994729145387	1.86769491539477	0.360226726385461	1.82723936024817	1.80556257583609	2.39482067406235	1.10494307675821	1.61869268833526	1.85386787433964	1.22991716588086	1.39478442406252	1.87409029574252	2.61146386839807	2.27897612719348	0.980124675286391	1.02534542901024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321245501585426	0	0	0	0	0	0	0	0.00946370144512062	0	0	0	0	0	0	0	0	0.418588495779888	0	0	0	0	0	0	0	0	
12	9.19999744219086	1.9420118780377	0.400151074385423	1.40856008039799	1.31384172064908	1.47173787132493	1.00551001085446	1.01550874217297	0.625669731302195	0.954400739497951	1.68650987068065	1.6494563354099	0.802660722838368	0.616663109846367	1.24840101241891	0.602744158056312	0	0	0	0	0	0	0	0	0	0	0	0.27549581539632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19993377077151	2.02530449646918	0.720394552139591	1.6882575220823	1.06071760526635	1.61732743287245	1.12002215864283	0.754015483650546	3.10959464433542	3.3361131760081	2.31123092237522	3.71784577787072	1.03131702734818	1.78913465647927	2.96478091311821	1.67039902801441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344695256301885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305363381855804	0	0	0	0	0	0	0	0	
14	9.19990079306075	2.02097302661547	1.14282953046014	1.77433785933515	1.76352082099927	1.80575513837185	1.14359647321325	1.02277640200261	0.454632370126624	1.598253380917	3.00807392191893	2.65917638961602	2.55842183437223	2.4371584611388	2.8408309951938	2.21036407231587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187098690649148	0	0	0	0	0	0	0	0	
15	9.19999724917031	2.02192087271849	0.449595985319	1.7999766739427	1.65730119376305	0.721371093132718	1.21847335817439	0.770374319600757	0.803539127887334	0.540034292328042	0.995232781741742	2.44128394007015	1.18477003496171	0.920162176752617	1.93881396077708	1.41787971334739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.651688540003684	0	0	0	0	0	0	0.320182492118669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142662070738132	0	0	0	0	0	0	0	
16	9.19990943600651	2.03255653190888	1.00465189356324	1.48259374746578	1.45344054965698	0.98497368530059	0.898770318499438	0.446858532897793	1.00795806833146	0.533183548842517	0.847455770446515	0.661902109785126	0.340785715458361	0.30043403323858	0.281648722155283	0.87554033130971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252521681377424	0	0	0	0	0	0	0.14342981228132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352581915951331	0	0	0	0	0	0	0	
17	9.19991689641338	1.68142242566901	0.86738872940463	1.52397613155294	1.50902510036389	0.430894010280952	0.792191016150693	0.654157843644733	0.227390577797566	0.489732582296619	0.424766183663602	0.325144885183802	0.409229243215657	0.413648581427504	0.477198248615869	0.174225902050884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859578206315907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315824400573794	0	0	0	0	0	0	0	0	
18	9.19997133953207	1.97200149445881	0.989323749426	1.86654347641335	1.79512570032983	0.400730075083493	0.815753477832646	0.689252675452265	0.281758766388917	0.580360661632036	0.77614759096509	0.608005345484614	0.321337972635379	1.04469938796985	0.315940126883865	1.20473087864623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197547490775677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268227120576901	0	0	0	0	0	0	0	0	
19	9.19993171084957	2.10835109330336	1.02483108714407	1.80372449348786	1.74352882694995	1.73256466902714	0.949043000142941	0.831434813402689	0.337330883394593	1.43879027170625	1.36644126361284	0.950218300211845	1.13617923320562	0.561476010439334	2.55564753649609	1.96112897285713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0741548025711014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281187341533137	0	0	0	0	0	0	0	0	
