sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_gra	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	
10	9.19990738013265	2.19029745383002	2.08081703024855	1.38107568102968	0.667495466165388	0.676351369646748	1.14591601344347	0.787399963811551	1.26682099058974	0.74900503566591	1.81237587871768	1.01229315390079	1.41000695658365	2.89566950374998	1.37723481018845	1.84022284850233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395947436961486	0	0	0	0	0	0	0	0	
11	9.19997441221122	1.43531562619747	1.39690449024171	1.2212128316183	0.655473007760473	0.440079519869089	0.941899097041711	0.635417184326481	1.11056887188607	0.494644122159219	0.863339740749975	0.869581316206915	0.512522239450617	0.907489011880591	0.385753159237709	0.501360539925612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062941396787368	0	0	0	0	0	0	0	0	0	0	0	0.393388804759201	0	0	0	0	0	0	0.0695670088627919	0	
12	9.19991058334039	2.25055055171394	1.31937982179642	1.20415409625884	0.760964599688672	1.17245238919172	0.725073235038956	2.37886207048125	0.509101643996918	0.430541214427908	0.700664839863197	0.498977076370479	0.848399587150156	0.653068687637655	0.250209341226239	0.882969872483459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387958026001838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322194425931805	0	0	0	0.218109952973282	0	0	0	0	0	0	0.040400791286706	0	
13	9.19997568683399	2.04532746601333	1.93604378911859	1.59652496221778	0.136441097585123	2.69703066061335	1.26297918845891	1.89915187405386	2.1061063136735	0.966807913871535	3.8456213651116	2.92812760781733	1.93172068766545	0.904314045637647	1.72679928412261	2.5132036481213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801440421380892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19992739786079	1.67197860068977	1.41111598703996	1.19365992001538	0.902825818949464	0.911638862189419	0.954776623805084	2.6733915350043	0.716599089310728	0.954602665825545	0.931927048392469	2.48376875942697	0.724299391463408	0.903785121273769	0.476583041282502	0.906264640086429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313647274978565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19997942958281	1.54114171911325	1.47433014963026	1.33615156433638	0.841918845469306	1.01986308216534	1.00891019326953	1.331823928411	0.681410069909387	0.774239683330458	0.571137150676801	0.602337907706731	0.924534929069752	0.406714018863424	0.737814822389739	0.960658957513826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215848319726273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19997196860825	1.7649766237788	1.55254368760625	1.54849103618301	0.89073326163896	0.93688033548091	1.19740084905651	1.55150080266825	0.589712352891579	0.901060333656491	1.2223894163804	2.62400263452919	0.469469285345172	1.11932617435772	1.13010379327052	1.46791419386343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248338922484476	0	0	0	0	0	0	0	0	0	0	0.372542882530518	0	0	0	0	0	0	0	0	
17	9.1999192240723	1.72159961386992	1.71507869722178	1.55264526501354	0.45720263648831	0.512132709961708	1.12991130027452	0.825778166356488	0.591681499919401	0.631063699232772	0.786032262146694	1.10393659967385	0.806569094480473	1.82958321004807	1.15610868965805	1.24705917440656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0835104542431776	0	0	0	0	0	0	0	0	1.05000347098464	0	0	0	0	0	0	0	0	
18	9.19990810088138	1.73295214956372	1.61616002161303	1.42849854667626	0.382011302218079	0.817391931058387	0.913081442003449	1.1083960600492	0.718651654379427	0.669586116368177	1.30085416225018	0.762403542390233	0.631196621513161	0.835445006945574	0.862178070298509	0.810643777695704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.713266628856596	0	0	0	0	0	0	0	0	
19	9.19996268518536	1.57619234438981	1.49311117179249	1.40831180960241	0.373085151729943	1.11852821699218	1.28624176579352	1.36451234057759	0.550523796464731	0.970840791618364	0.385731721078359	0.832720755701874	0.968455259600342	1.17377588525847	0.643362641237038	1.07146711695328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0821409957404883	0	0	0	0	0	0	0	0	
20	9.19993625812806	1.74362738913897	1.44157638525343	1.30157112675341	0.62069492680817	0.317726128900094	1.08052437130999	0.94708915386964	0.916848275652998	0.426632685728284	1.00000198362231	2.21930478488233	0.989945731596007	0.937240144339642	0.782574412546643	0.59044596259695	0	0	0	0	0	0	0	0	0	0	0	0.309102595465328	0	0	0	0	0	0	0	0	0	0	0	0.128639496577224	0	0	0	0	0	0	0.0654004713506684	0	0	0	0	0	0	0	0	0	0	0.301059530081364	0	0	0	0	0	0	0	0	
21	9.1999723369166	1.7678277952169	1.55213640642744	1.15631655258892	0.513295671501969	0.884666199792483	1.25012855241688	1.75499361348018	1.83152280869536	0.705206819546227	1.27799713840305	1.05608357460673	0.934380129733277	1.24019329241617	1.63600785425078	1.5715820361068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677493437156345	0	0	0	0	0	0	0	0	
22	9.19992116784638	1.92774857329681	1.76946655162055	1.51395087983911	1.12690062597464	0.423164216733143	1.06358811132333	0.620951974949906	1.05956672415275	0.256285120937324	1.00245857155327	0.797888683252454	0.399686390954058	0.614304466819764	0.46058549815273	0.83723350475949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238814639701821	0	0	0	0	0	0	0.128077215139302	0	
23	9.19996619043867	1.72966653283931	1.69974219922298	1.62643770765961	0.541319360420516	2.32041291124334	1.23641659716173	0.966879108137825	1.48043697833992	1.25596032407612	1.27782153655384	2.56345011404106	1.41652752004519	1.21256947082959	1.55387592070954	2.13143862941074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270955638026199	0	0	0	0	0	0	0.0461922834483508	0	
24	9.19995873295006	1.35267967941637	1.23917925376969	1.17021107873619	0.43945368737011	0.352427197101693	0.890803256231091	0.950791248184089	0.951679536798357	0.287818453670254	0.549209096954174	0.814177058823041	0.499963016501533	0.435350666463647	0.635749243588539	0.311371984931462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022937545504729	0	0	0	0	0	0.263557396599765	0	0	0	0	0	0	0.191863493325378	0	
25	9.19990748120502	1.72884555887636	1.44759139703917	1.17998998507613	0.589691277222468	0.4849021546179	0.785295622188541	1.9681852645298	1.52696086728386	0.329396648779883	0.460256435438993	1.35969243412099	0.964010255508933	0.803627961738918	0.412473741099469	0.539636104652506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227734586736681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	9.19992403335683	1.62272060077982	1.36096946652965	1.2865483179406	0.942876665692815	0.486570713993686	1.11160479840013	1.57884771038012	0.425003156519886	0.315575114405526	0.343847697525478	0.870338062020475	0.608977529418323	0.441261064576748	1.35856059466011	0.818211014535673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312841113649992	0	0	0	0	0	0	0	0	
27	9.19997005858363	1.72584516331936	0.96157683452831	0.908812857952067	0.566730242750851	1.57296639267143	0.98431620493135	2.28691893567259	5.67850780157633	0.939613612919617	1.11387314970415	3.27727009230044	0.974045860407667	1.23101264948659	1.55900723668535	0.904344494988796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508093600418809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465848391586046	0	0	0	
28	9.19991109135824	1.79175075231727	1.76277040268919	1.14015063538773	0.873360941524176	1.08978678951721	1.20756092534943	1.53550361040332	2.64939463690559	1.53115055616352	0.466562391079803	0.96301140765369	1.14800651632708	0.656766671204896	0.517512701915096	1.24422146048203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217833453684966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9.19994871639561	2.18308145998112	1.39091216749676	1.28933780246022	0.573948073812407	0.992791385575962	0.962687596076536	3.53017458014385	1.77247719620792	2.18191604535985	1.1417381251437	0.778795836978136	1.68608386129746	0.567014478300436	0.600637225164645	1.48656888975038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66008821994656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	9.19992933951489	1.937080748217	1.04048723043028	0.427982098225199	0.257190219823583	3.32494334350831	1.17679365694614	3.78100135816338	2.72807884096928	1.67055953254958	2.42326894699436	1.10300764329466	1.87866949956056	1.20991889347615	2.1920198326856	1.39046870194358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07764791210892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	9.19999610309438	1.90072836922996	1.32887572414626	0.928875963732293	0.608815358583912	0.947250561149515	1.16541878309764	3.54217954885736	1.47252197659815	0.457752977944237	2.11504438949042	1.5408599503505	1.2321174379686	1.41350600813191	0.728809521272403	1.58399526818101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182836655144101	0.89602080256401	0	0	0	0	0	0	0	0	0	0	0	0	0.0475529899043242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	9.19993197020941	1.94042305096843	1.77206132169588	1.63951971110504	1.049668645228	0.684697624243018	1.43880603120789	1.01499627717782	0.712736371881239	0.439713592366726	1.13515140339237	0.536570511155787	0.881492841505667	1.50825076447677	2.28380838203641	0.996039791568832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20340405876151	0	0	0	0	0	0	0	0	
33	9.199916848035	1.77663880460958	1.71978813657706	0.916353134166342	0.128261759362838	2.25574706716866	1.3174432467171	1.19415401428394	3.4214062495184	0.677556439101473	1.01192089933355	1.44899891942875	2.39153337142232	2.37823314748653	2.22573311908548	1.51233991529556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	9.19993250936653	1.82631550402878	1.74978263667713	1.5366533026635	0.514317554215589	0.948019015510302	1.0359476573956	1.14541919803551	1.79151085861562	0.325370399282948	1.20719448915726	0.621473023044915	0.878770121439922	1.7655406363398	0.917057771811797	1.13871303526828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361797850288964	0	0	0	0	0	0	0	0	
35	9.1999121671792	1.72004233457061	1.42432301708478	0.887768782975107	0.813085138685847	1.94986803474004	0.867680536150742	1.18325901840573	1.82723034665272	1.87557709225394	0.981365740813938	2.93852608241094	0.742288791163806	0.669782629887189	1.20876387165686	0.832391072359649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181696392958893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230534039196434	0	0	0	0	0	0	0	0	0	0	
36	9.19992662753112	2.08731533633412	1.99448004558768	1.37974978341957	0.814295914298519	1.37305539625299	1.35184566214867	1.06352632227802	1.30495536840931	0.586080271236875	0.946003220296236	2.50337546710898	0.759795441168621	0.457725507634451	1.45267938071917	2.02745979727462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361072949378589	0	0	0	0	0	0	0.215379943786527	0	
37	9.19990338682978	2.02779827708622	1.8387104517758	1.53356310883172	0.451141502032286	1.30696640181727	0.868844787814324	1.30989927330393	0.921283852275658	0.98122174345411	1.65504329280163	0.49484000292985	1.20499487946889	0.458339398734368	2.11911986704625	1.37300733383585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46351886017469	0	0	0	0	0	0	0.260936826540272	0	
